Rank,Name,Analytical Score,Stop %,INTs per Coverage Snap,Coverage Snaps per Game,Yards per Coverage Snap,Run Snaps per Game,Pressures per Rush,QB Rating Against,Sacks per Rush,Tackles per Run Snap,Pass Rush Win Rate,Avg Depth of Tackle,Hurries per Rush,Pass Rush Snaps,Forced Fumbles per Run Snap,Snaps per Reception
53,Frankie Luvu,46.8,20.8,71.9,36,51.7,87.1,33.7,23,56.2,12.4,61.8,75.8,34.8,100,37.6,70.2
54,Christian Rozeboom,46.8,45.5,66.3,50.6,9.6,61.8,56.2,14,44.9,56.2,48.9,53.4,79.8,34.8,37.6,22.5
55,Justin Strnad,46.6,63.5,27,52.2,38.2,21.3,41.6,47.2,66.3,86.5,38.2,40.4,44.9,73,37.6,24.2
56,Eric Wilson,45.2,14.6,85.4,18,51.7,14.6,91,42.7,86.5,3.4,83.1,64,75.3,25.8,37.6,43.8
57,Kyzir White,44.8,28.1,64,61.8,16.9,64,61.8,32.6,49.4,43.8,23.6,14.6,56.2,87.6,37.6,38.8
58,Dorian Williams,44.6,82,27,25.8,16.9,32.6,68.5,28.1,36.5,83.1,73,7.3,71.9,51.7,84.3,1.1
59,Alex Anzalone,44.5,25.3,27,98.9,51.7,40.4,38.2,70.8,29.2,49.4,48.9,5.1,25.8,62.9,37.6,38.8
60,Jerome Baker,43.7,10.7,27,57.3,69.7,66.3,74.2,88.8,75.3,6.7,13.5,72.5,68,40.4,91,62.4
61,Mack Wilson Sr.,43.6,14.6,87.6,20.2,69.7,44.9,7.9,85.4,34.8,11.2,25.3,26.4,13.5,97.8,37.6,31.5
62,De'Vondre Campbell,42.7,35.4,27,62.9,51.7,65.2,76.4,50,10.7,29.2,22.5,40.4,92.1,16.3,37.6,24.2
63,Anthony Walker Jr.,42.5,19.1,80.9,48.3,38.2,27,43.8,53.9,47.8,18,5.6,11.2,61.8,29.8,37.6,64.6
64,Drue Tranquill,42.2,32,27,42.7,69.7,50.6,36,36,55.1,22.5,62.9,79.8,14.6,91,37.6,68.5
65,Leo Chenal,42.1,63.5,27,1.1,91,6.7,13.5,6.7,21.3,70.8,38.2,92.7,33.7,93.3,89.9,64.6
66,Ventrell Miller,42,87.6,27,16.9,27,20.2,32,60.7,10.7,74.2,5.6,31.5,71.9,5.1,92.1,34.3
67,Tremaine Edmunds,41.9,7.9,59.6,75.3,38.2,92.7,6.2,82,40.4,16.9,5.6,11.2,5.6,46.1,37.6,56.7
68,Matt Milano,41.8,42.7,27,32.6,27,59.6,95.5,24.7,91,13.5,79.8,98.9,19.1,20.8,37.6,74.2
69,Raekwon McMillan,41.6,51.1,27,15.7,69.7,29.2,100,44.9,10.7,71.9,5.6,14.6,100,1.1,37.6,92.1
70,K.J. Britt,41.6,48.3,27,38.2,69.7,22.5,18,29.2,33.7,76.4,30.3,40.4,32.6,53.9,37.6,85.4
71,Troy Dye,41.2,78.7,27,9,9.6,12.4,43.8,38.8,100,100,65.2,59.6,12.4,10.1,37.6,10.7
72,Elandon Roberts,40.2,70.8,27,4.5,9.6,23.6,85.4,36,39.3,53.9,38.2,86.5,96.6,47.8,86.5,59.6
73,Patrick Queen,39.9,10.7,27,95.5,27,77.5,51.7,33.7,25.8,28.1,87.6,19.7,36,78.7,37.6,38.8
74,Jahlani Tavai,39.1,6.7,75.3,39.3,9.6,85.4,47.2,40.4,24.7,23.6,89.9,14.6,68,81.5,37.6,14
75,Nate Landman,38.9,48.3,27,40.4,69.7,30.3,2.2,1.1,10.7,73,28.1,44.9,11.2,14,93.3,79.2
76,Troy Reeder,38.1,16.9,27,52.2,69.7,98.9,10.7,75.3,10.7,10.1,28.1,26.4,39.9,11.8,37.6,79.2
77,Devin Bush,37.8,32,27,7.9,51.7,28.1,97.2,38.8,59,38.2,91,44.9,98.9,23,37.6,82
78,David Long Jr.,37,78.7,27,19.1,2.8,19.1,60.7,11.2,10.7,32.6,35.4,86.5,94.4,24.7,37.6,2.8
79,Trenton Simpson,36.2,25.3,27,37.1,69.7,25.8,46.1,7.9,67.4,37.1,21.3,53.4,10.1,44.9,37.6,76.4
80,Marist Liufau,35.2,23,27,5.6,69.7,16.9,48.3,76.4,50.6,7.9,70.2,82.6,66.3,69.7,37.6,34.3
81,Tyrice Knight,34.7,12.4,27,41.6,27,38.8,87.1,65.2,83.1,47.8,46.6,3.4,83.1,32.6,37.6,7.9
82,Divine Deablo,33.5,14.6,27,43.8,51.7,55.6,49.4,17.4,32.6,1.1,70.2,44.9,28.1,58.4,37.6,47.8
83,Malik Harrison,32.7,70.8,27,3.4,2.8,9,19.1,0,36.5,34.8,77.5,95.5,24.2,51.7,37.6,59.6
84,Trevin Wallace,27,3.4,27,44.9,16.9,82,23.6,3.4,47.8,19.1,71.9,2.2,46.6,29.8,37.6,66.3
85,Isaiah McDuffie,25.3,18,27,29.2,2.8,31.5,78.7,5.6,10.7,9,78.7,36,86.5,27.5,37.6,4.5
86,Baylon Spector,23.2,2.2,27,33.7,16.9,18,54.5,20.2,97.8,21.3,5.6,36,2.8,2.2,37.6,21.3
87,Dee Winters,22.6,5.6,27,6.7,69.7,13.5,1.1,89.9,10.7,5.6,5.6,26.4,2.8,6.7,37.6,19.7
88,Chad Muma,18.1,1.1,27,10.1,51.7,2.2,4.5,2.2,93.3,2.2,5.6,0,2.8,5.1,37.6,27
89,Willie Gay,17.3,4.5,27,2.2,2.8,3.4,39.9,12.4,95.5,4.5,19.1,53.4,27,19.1,100,10.7
