Rank,Name,Analytical Score,Sacks per Snap,Interceptions per Snap,QB Rating Against,Snap Count,Forced Fumbles per Snap,Missed Tackle Rate
43,Mike Edwards,52.7,29.1,100,47.4,31.6,88.8,19.9
44,Grant Delpit,52.5,80.6,42.9,42.9,30.6,89.8,28.1
45,Kamren Curl,51.9,75.5,13.3,63.3,53.1,32.7,82.7
46,Chuck Clark,51.8,66.3,51,21.4,71.4,32.7,58.7
47,Brandon Jones,51.8,100,38.8,20.4,35.7,84.7,12.2
48,Jessie Bates III,51.3,29.1,63.3,27.6,98,32.7,35.7
49,Jaylinn Hawkins,50.5,29.1,86.7,82.7,20.4,32.7,5.1
50,Deon Bush,50.2,29.1,95.9,80.6,11.2,32.7,10.2
51,Logan Ryan,50.2,85.7,13.3,10.2,67.3,92.9,74.5
52,Tracy Walker III,49.8,74.5,36.7,36.7,54.1,32.7,43.4
53,Duron Harmon,49.5,29.1,48.5,41.8,80.1,32.7,95.9
54,Andrew Wingard,49.3,71.4,33.7,39.8,61.7,32.7,3.6
55,Jordan Fuller,49,29.1,30.6,68.4,72.4,32.7,73.5
56,Johnathan Abram,48.8,70.4,32.7,32.7,64.3,32.7,29.6
57,Juston Burris,47.3,29.1,60.7,96.9,16.8,32.7,7.7
58,Daniel Sorensen,46.6,76.5,62.2,5.1,50,32.7,0
59,DeAndre Houston-Carson,46.5,29.1,60.7,79.1,16.8,32.7,92.9
60,Anthony Harris,46.4,29.1,34.7,51.5,57.1,78.6,78.6
61,Kareem Jackson,45.8,73.5,35.7,22.4,56.1,32.7,16.3
62,Will Harris,45.6,68.4,13.3,12.2,68.4,73.5,87.2
63,Ronnie Harrison,44.6,81.6,43.9,14.3,29.6,32.7,85.2
64,Tre'von Moehrig,43.8,29.1,26.5,30.6,96.9,32.7,31.6
65,Justin Reid,43.2,29.1,67.3,24.5,48,81.6,3.6
66,Lonnie Johnson Jr.,42.4,29.1,98,28.6,26.5,32.7,1
67,Nasir Adderley,42.1,69.4,13.3,7.1,66.3,74.5,23.5
68,Malik Hooker,41.9,29.1,54.1,69.4,23.5,32.7,21.4
69,Eric Murray,41.5,29.1,37.8,62.2,44.9,32.7,24.5
70,Darnell Savage,41.3,29.1,48.5,16.3,80.1,32.7,17.3
71,Alohi Gilman,40.4,29.1,75.5,57.7,8.2,32.7,14.8
72,Jaquiski Tartt,39.6,29.1,13.3,57.7,63.3,32.7,34.7
73,Rayshawn Jenkins,38.8,29.1,13.3,60.2,51,32.7,70.4
74,Julian Love,38.4,29.1,40.8,26.5,33.7,85.7,94.9
75,Juan Thornhill,38.4,29.1,29.6,9.2,75.5,70.4,44.9
76,Marcus Epps,37.2,29.1,45.9,43.9,24.5,32.7,87.2
77,Tre Norwood,36.2,29.1,65.3,38.8,15.3,32.7,28.1
78,Donovan Wilson,36.1,29.1,13.3,95.9,12.2,32.7,13.3
79,Henry Black,35.7,29.1,82.7,34.7,3.1,32.7,7.7
80,Myles Hartsfield,35.4,86.7,13.3,8.2,21.9,32.7,58.7
81,Marcus Maye,34,90.8,13.3,11.2,9.2,32.7,49.5
82,Ryan Neal,33.5,87.8,13.3,2,18.4,32.7,56.1
83,Andrew Sendejo,33.4,29.1,13.3,45.9,32.7,86.7,7.7
84,George Odum,32.8,29.1,55.1,18.4,21.9,32.7,76
85,Eric Rowe,32.6,29.1,13.3,23.5,34.7,100,79.6
86,Elijah Riley,31.8,88.8,13.3,1,13.3,32.7,37.8
87,Roderic Teamer,31.3,29.1,13.3,79.1,2,32.7,40.3
88,Erik Harris,30.5,29.1,13.3,40.8,40.8,32.7,14.8
89,Eddie Jackson,29.2,29.1,13.3,4.1,49,80.6,55.1
90,Dean Marlowe,27.1,29.1,13.3,15.3,39.8,32.7,80.6
91,Julian Blackmon,27.1,29.1,13.3,56.1,10.2,32.7,11.2
92,M.J. Stewart,27,29.1,13.3,29.6,7.1,96.9,58.7
93,Dane Cruikshank,26.2,29.1,13.3,37.8,19.4,32.7,43.4
94,Brandon Stephens,24.6,29.1,13.3,0,41.8,32.7,89.8
95,Sean Chandler,22,29.1,13.3,3.1,25.5,32.7,96.9
96,Dallin Leavitt,20.1,29.1,13.3,31.6,1,32.7,18.4
97,Talanoa Hufanga,19.4,29.1,13.3,6.1,14.3,32.7,71.4
98,Jason McCourty,18.7,29.1,13.3,19.4,6.1,32.7,22.4
