Rank,Name,Analytical Safety Score (ASS),Forced Fumbles per Snap,Interceptions per Snap,Sacks per Snap,Missed Tackle Rate,QB Rating Against,Snap Count
63,Cam Lewis,47,78.3,53.8,33.5,8.5,58.5,40.6
64,Christian Izien,46.9,31.6,51.9,33.5,1.9,73.6,43.4
65,Grant Delpit,46.5,31.6,19.3,73.6,66.5,23.6,66.5
66,Evan Williams,45.9,84,58.5,33.5,29.2,52.8,31.1
67,Jason Pinnock,45.4,31.6,19.3,93.4,22.2,2.8,66.5
68,Antoine Winfield Jr.,44.7,31.6,19.3,94.3,65.1,20.8,37.3
69,Minkah Fitzpatrick,44.2,31.6,38.7,33.5,66.5,12.3,94.8
70,Rayshawn Jenkins,44.2,31.6,19.3,96.2,7.1,30.2,32.5
71,Demani Richardson,43.9,31.6,72.6,33.5,49.5,56.6,17.9
72,Vonn Bell,43.2,76.4,50.9,33.5,48.1,34,44.3
73,Jordan Battle,42.7,31.6,65.1,33.5,47.2,49.1,27.8
74,Isaiah Oliver,42.7,31.6,19.3,84,77.8,22.6,35.8
75,Kyle Dugger,42.4,73.6,19.3,79.2,34.4,6.6,49.1
76,Tyler Nubin,41.1,31.6,19.3,33.5,68.4,57.5,53.8
77,Damontae Kazee,41,31.6,82.1,33.5,86.3,35.8,9.4
78,Daryl Worley,40.4,90.1,66.5,33.5,10.4,27.4,24.1
79,Andre Cisco,40.1,31.6,43.4,33.5,38.2,19.8,67.9
80,Jalen Pitre,39.9,77.4,52.8,33.5,15.1,24.5,41.5
81,Jonathan Owens,39.6,93.4,68.9,33.5,36.3,18.9,20.8
82,Darnell Savage,38.7,31.6,47.6,33.5,22.2,28.3,51.4
83,Ronnie Hickman Jr.,38.7,31.6,19.3,33.5,51.9,76.4,26.4
84,Jalen Thompson,38.2,31.6,19.3,33.5,84.9,33,62.3
85,Antonio Johnson,38.2,31.6,19.3,33.5,75.9,54.2,42.5
86,Mike Brown,38,31.6,19.3,33.5,95.8,77.4,15.1
87,Kaevon Merriweather,36.3,31.6,19.3,97.2,54.7,10.4,6.6
88,Jordan Poyer,35,31.6,19.3,33.5,72.6,17,65.1
89,Javon Bullard,34.1,31.6,19.3,33.5,59.4,25.5,54.7
90,Rodney McLeod,32.6,31.6,19.3,33.5,24.5,45.3,34
91,Dadrion Taylor-Demerson,31.5,100,19.3,33.5,32.1,47.2,2.8
92,Jordan Whitehead,30,31.6,19.3,33.5,49.5,16,46.7
93,Tony Jefferson,29,99.1,19.3,33.5,71.7,26.4,5.7
94,Cole Bishop,29,31.6,19.3,33.5,7.1,37.3,27.8
95,Jordan Fuller,27.9,81.1,19.3,33.5,57.1,0.5,34.9
96,Elijah Hicks,27.4,31.6,19.3,33.5,86.3,32.1,12.3
97,Talanoa Hufanga,26.7,31.6,19.3,33.5,44.3,39.6,8.5
98,Marcus Williams,25.9,31.6,19.3,33.5,84,0.5,37.3
99,Jaylinn Hawkins,25.8,31.6,19.3,33.5,32.1,7.5,38.7
100,Quandre Diggs,24,31.6,19.3,33.5,89.6,8.5,19.8
101,Nick Scott,21.7,31.6,19.3,33.5,0.9,21.7,10.4
102,Mike Edwards,21.3,31.6,19.3,33.5,99.1,13.2,0.9
103,Percy Butler,21,31.6,19.3,33.5,16,4.7,21.7
104,Juan Thornhill,20.4,31.6,19.3,33.5,0,9.4,17
105,Eddie Jackson,19.5,31.6,19.3,33.5,13.7,3.8,16
106,Tristin McCollum,16.1,31.6,19.3,33.5,2.8,1.9,3.8
