Rank,Name,Analytical Wide Receiver Score (AWRS),Yards per Route Run,Receiving YPG,First Downs per Route Run,Air Yards,TDs per Route Run,Yards per Target Over Expectation,Slot Rate,Yards After Catch per Reception,Contested Catch %,QB Rating When Targeted,Missed Tackles Forced per Reception
16,Tank Dell,76.9,86.6,80.4,89.7,72.3,97.3,64.7,61.2,25.0,60.7,83.0,25.4
17,George Pickens,75.8,83.0,83.0,58.5,88.8,58.0,91.1,89.3,93.8,42.0,57.1,75.9
18,Rashee Rice,75.3,92.0,72.3,92.0,25.4,92.0,93.8,24.1,99.1,60.7,96.4,66.5
19,Deebo Samuel,74.6,88.4,74.1,73.2,42.0,91.1,96.0,57.1,100.0,8.5,88.4,100.0
20,Diontae Johnson,74.4,72.3,68.8,84.8,92.4,78.6,46.9,82.1,67.9,60.7,62.5,79.9
21,Davante Adams,71.9,76.3,83.9,85.7,98.2,81.3,17.9,87.9,33.0,41.1,29.0,29.9
22,DeAndre Hopkins,71.6,84.4,79.5,81.7,97.3,82.1,27.2,84.4,24.1,14.3,33.0,52.2
23,Michael Pittman,71.5,79.5,87.5,79.5,73.7,46.4,60.3,72.3,63.4,96.4,39.3,25.4
24,Stefon Diggs,70.7,73.2,85.3,79.5,83.0,74.1,36.6,45.5,44.6,71.9,53.6,79.9
25,Tee Higgins,69.2,64.3,67.9,71.4,85.7,77.2,54.9,87.9,80.8,19.6,68.8,46.9
26,Cooper Kupp,69.1,74.1,78.6,71.4,67.4,77.2,68.3,17.9,80.8,79.0,51.8,62.5
27,DeVonta Smith,68.9,69.6,82.1,64.3,75.0,70.5,78.1,52.7,39.3,52.2,84.8,40.2
28,Odell Beckham,67.9,75.0,51.8,77.7,57.1,63.4,58.5,97.8,59.8,98.7,55.4,61.2
29,Dontayvion Wicks,67.7,85.7,48.2,89.7,23.2,83.0,87.9,39.3,82.6,37.1,85.7,92.4
30,Courtland Sutton,67.6,65.2,61.6,66.1,82.1,98.2,51.3,77.7,14.3,52.2,92.0,19.2
31,Chris Olave,67.5,78.6,86.6,87.1,90.2,57.1,40.2,33.9,50.0,12.1,50.9,29.9
32,Jayden Reed,65.0,81.3,62.5,68.3,45.5,96.4,75.0,4.5,76.8,4.5,92.9,66.5
33,Christian Kirk,65.0,84.4,81.3,75.4,58.0,50.0,85.3,5.4,64.3,12.1,79.5,40.2
34,Noah Brown,64.6,76.3,70.5,66.1,50.0,44.6,87.9,34.8,97.3,43.8,81.3,56.3
35,Kendrick Bourne,64.6,66.1,64.3,49.6,65.6,90.2,43.8,63.4,78.6,60.7,50.0,85.7
36,Demarcus Robinson,63.6,67.9,32.1,81.7,30.4,93.8,71.0,75.9,29.5,98.7,93.8,33.9
37,Jakobi Meyers,61.9,54.5,63.4,74.1,59.8,85.7,46.9,67.9,36.6,37.1,61.6,58.9
38,Calvin Ridley,61.4,58.5,75.9,59.8,87.5,73.2,17.9,85.7,17.9,33.0,47.3,33.9
39,Drake London,60.9,70.5,69.6,75.4,75.9,27.7,51.3,68.8,17.0,81.3,25.9,46.9
40,Zay Flowers,60.4,56.7,66.5,58.5,54.5,59.8,64.7,54.5,66.1,37.1,78.6,94.6
41,Chris Godwin,60.2,68.8,76.8,79.5,65.6,24.1,54.9,37.1,60.7,75.4,34.8,19.2
42,Jordan Addison,60.2,51.8,66.5,44.6,67.4,88.4,54.9,66.5,42.0,60.7,56.3,40.2
43,Josh Palmer,60.0,67.0,71.4,50.9,61.2,37.9,81.3,35.7,75.0,75.4,67.0,19.2
44,Christian Watson,59.1,62.1,58.9,61.2,79.5,95.5,21.0,55.8,26.8,49.1,18.8,29.9
45,Terry McLaurin,58.9,53.1,73.2,56.3,81.3,37.9,40.2,91.1,58.0,47.8,32.1,52.2
46,Gabe Davis,57.5,46.4,55.4,44.6,58.9,75.9,60.3,92.9,51.8,60.7,40.2,66.5
47,Adam Thielen,57.5,55.4,75.0,71.4,63.8,41.1,54.9,9.8,35.7,90.2,69.6,25.4
48,Romeo Doubs,55.3,44.2,50.0,68.3,55.4,87.5,17.9,90.2,7.1,68.8,58.9,9.8
49,Rashid Shaheed,54.8,59.8,60.7,38.8,52.2,67.9,78.1,26.8,37.5,60.7,60.7,40.2
50,Khalil Shakir,54.6,71.4,44.6,63.4,5.8,39.7,100.0,3.6,98.2,79.0,100.0,46.9
51,Garrett Wilson,54.5,53.1,77.7,52.2,100.0,33.9,14.3,53.6,34.4,28.6,15.2,85.7
52,Josh Reynolds,54.2,40.2,43.8,52.2,34.4,66.1,80.4,47.3,61.6,84.4,89.7,87.5
53,Michael Wilson,54.2,42.4,54.5,54.0,62.5,47.3,68.3,69.6,38.4,60.7,59.8,58.9
54,Tyler Lockett,53.8,56.7,65.2,66.1,77.2,55.4,30.4,43.3,15.2,20.5,46.4,13.8
55,Kalif Raymond,52.2,81.3,33.5,69.6,8.5,30.4,97.8,25.0,89.3,2.2,94.6,61.2
56,Darius Slayton,52.2,42.4,57.1,26.8,63.8,45.5,85.3,55.8,86.6,5.4,76.8,89.7
57,Jerry Jeudy,52.0,60.7,59.8,38.8,73.7,32.6,62.1,17.0,91.1,16.5,37.5,93.8
58,Brandin Cooks,51.6,36.2,53.6,56.3,53.6,84.8,36.6,42.0,9.8,76.8,71.4,25.4
59,Josh Downs,48.6,62.1,58.0,44.6,35.7,31.3,76.3,1.8,77.7,31.3,58.0,66.5
60,Marquise Brown,48.3,37.5,52.7,54.0,80.4,54.5,9.8,79.5,31.7,12.1,23.2,56.3
61,Jameson Williams,46.6,48.2,34.8,35.3,49.1,52.7,43.8,43.3,55.4,98.7,25.0,83.0
62,Demario Douglas,45.8,63.4,50.9,61.2,43.3,6.7,46.9,11.6,94.6,25.0,10.7,96.9
63,Curtis Samuel,45.5,50.0,47.3,44.6,32.1,60.7,49.6,8.9,53.6,60.7,42.0,52.2
64,Michael Thomas,44.4,45.5,56.3,49.6,44.6,18.8,30.4,58.0,16.1,86.6,31.3,46.9
65,D.J. Chark,43.8,23.7,41.5,18.8,69.6,64.3,24.1,73.2,12.5,94.6,75.4,9.8
66,Wan'Dale Robinson,42.6,39.3,41.5,56.3,22.3,17.9,64.7,2.7,67.0,98.7,63.8,71.0
67,Justin Watson,41.8,44.2,33.5,40.6,61.2,56.3,32.6,48.2,4.5,60.7,21.4,3.6
68,Marvin Mims,41.0,50.0,25.4,7.6,28.1,26.8,96.0,65.2,96.0,25.0,70.5,40.2
69,Nick Westbrook-Ikhine,40.3,34.8,29.5,35.3,26.8,61.6,58.5,23.2,54.5,31.3,82.1,52.2
70,Trenton Irwin,39.7,41.1,17.0,44.6,9.8,29.5,92.0,51.8,62.5,60.7,72.3,13.8
71,Jaxon Smith-Njigba,39.0,38.4,45.5,37.5,25.4,50.9,46.9,8.0,84.8,8.5,49.1,33.9
72,Nelson Agholor,38.8,27.2,22.3,31.3,16.1,69.6,68.3,6.3,50.9,74.1,95.5,52.2
73,Greg Dortch,38.7,30.4,12.5,35.3,10.7,51.8,40.2,64.3,92.9,60.7,65.2,98.7
74,Cedrick Wilson,38.7,36.2,15.6,35.3,19.6,72.3,40.2,37.1,19.2,94.6,66.1,40.2
75,Chris Moore,38.2,50.0,27.7,31.3,24.1,6.7,94.6,44.6,21.4,79.0,54.5,19.2
76,Tutu Atwell,37.0,31.3,36.2,44.6,39.7,48.2,32.6,31.3,13.4,60.7,34.8,9.8
77,Mack Hollins,36.0,58.5,14.3,33.0,15.2,6.7,54.9,74.1,22.8,94.6,41.1,3.6
78,DeVante Parker,35.9,32.6,37.5,26.8,47.3,6.7,24.1,93.8,49.1,60.7,13.4,25.4
79,Tyler Boyd,35.9,32.6,49.1,24.1,34.4,25.0,54.9,0.9,56.3,60.7,27.7,75.9
80,Michael Gallup,34.5,22.3,26.8,21.9,21.4,35.7,30.4,99.1,19.2,90.2,44.6,40.2
81,Tre Tucker,34.1,47.3,19.6,28.6,33.0,53.6,43.8,41.1,0.9,25.0,34.8,3.6
82,Alec Pierce,34.0,14.7,36.2,15.6,56.3,21.4,27.2,96.4,25.9,69.6,26.8,25.4
83,Zay Jones,33.1,23.7,42.9,20.5,68.8,43.8,1.8,66.5,5.4,18.8,12.5,3.6
84,Jauan Jennings,32.5,33.9,17.9,29.5,17.0,34.8,68.3,15.6,69.6,25.0,45.5,66.5
85,Elijah Moore,31.6,25.9,46.4,24.1,48.2,22.3,12.5,28.6,34.4,25.0,20.5,79.9
86,Rashod Bateman,31.6,29.0,24.1,40.6,46.4,19.6,11.6,97.8,3.6,25.0,9.8,9.8
87,Kadarius Toney,30.3,25.0,3.6,62.5,0.9,42.0,15.6,25.9,70.5,60.7,16.1,98.7
88,K.J. Osborn,30.2,19.6,40.2,26.8,28.1,36.6,34.4,40.2,43.8,9.8,30.4,13.8
89,Isaiah Hodgins,28.8,12.1,4.9,17.4,5.8,67.0,40.2,86.6,31.7,16.5,86.6,19.2
90,Brandon Powell,28.8,29.0,13.4,44.6,4.5,23.2,73.2,13.4,41.1,25.0,48.2,46.9
91,Quentin Johnston,28.7,14.7,28.6,13.4,39.7,28.6,9.8,95.5,45.5,17.9,24.1,33.9
92,Robert Woods,28.4,21.4,38.4,48.2,36.6,17.0,9.8,21.9,29.5,15.2,17.9,33.9
93,JuJu Smith-Schuster,26.9,27.2,25.4,31.3,18.8,32.6,15.6,29.5,27.7,71.9,2.7,3.6
94,Jalin Hyatt,26.9,18.3,21.4,4.5,50.9,6.7,36.6,94.6,10.7,43.8,14.3,40.2
95,Darnell Mooney,26.3,16.1,30.4,17.4,41.1,14.3,34.4,12.5,88.4,12.1,8.9,75.9
96,Jalen Tolbert,25.1,20.5,8.9,21.9,11.6,49.1,25.9,46.4,2.7,37.1,52.7,40.2
97,Jahan Dotson,24.5,10.3,39.3,13.4,37.5,39.7,21.0,30.4,8.0,31.3,8.0,7.1
98,Jonathan Mingo,23.5,8.9,31.3,3.6,52.2,6.7,4.0,50.4,40.2,46.4,4.5,83.0
99,Marquez Valdes-Scantling,23.0,7.1,15.6,5.4,43.3,15.6,13.4,49.1,57.1,79.0,19.6,19.2
100,Trey Palmer,22.9,12.1,23.2,9.8,31.3,42.9,7.1,20.5,20.5,50.4,36.6,19.2
101,Skyy Moore,21.8,13.4,11.6,19.6,12.9,25.9,24.1,50.4,72.8,2.2,3.6,75.9
102,Braxton Berrios,20.9,10.3,6.3,24.1,3.6,20.5,49.6,14.3,22.8,90.2,29.0,52.2
103,Hunter Renfrow,19.8,18.3,7.1,13.4,1.8,6.7,62.1,0.0,92.0,2.2,42.9,89.7
104,Allen Lazard,19.2,5.8,19.6,10.7,38.4,15.6,7.1,81.3,11.6,7.1,5.4,13.8
105,Rondale Moore,17.9,8.0,19.6,7.6,8.5,13.4,28.6,10.7,72.8,6.3,38.4,79.9
106,Tyler Scott,16.7,4.5,1.3,11.6,14.3,6.7,4.0,83.0,47.3,37.1,6.3,72.8
107,John Metchie,15.2,17.0,1.3,15.6,2.7,6.7,7.1,27.7,71.4,2.2,17.0,96.9
108,Terrace Marshall,14.0,2.2,8.0,8.9,20.5,6.7,5.4,58.9,8.9,60.7,7.1,3.6
109,Xavier Gipson,13.8,3.6,4.9,2.2,7.1,6.7,21.0,15.6,75.9,43.8,11.6,89.7
110,Cedric Tillman,12.8,2.2,9.8,6.3,17.9,6.7,2.7,32.6,29.5,37.1,1.8,75.9
111,Allen Robinson,12.7,5.8,10.7,0.9,12.9,6.7,21.0,7.1,6.3,90.2,22.3,9.8
112,Van Jefferson,9.2,0.9,2.7,2.2,29.5,6.7,0.9,32.6,1.8,37.1,0.9,3.6
