Rank,Name,Analytical Safety Score (ASS),Sacks per Snap,Interceptions per Snap,QB Rating Against,Snap Count,Forced Fumbles per Snap,Missed Tackle Rate
55,Nick Cross,49.9,33.2,77.9,90.4,6.7,30.3,53.8
56,Kevin Byard,48.8,33.2,27.9,27.4,97.1,62.5,95.7
57,Ronnie Hickman Jr.,48.4,33.2,73.1,84.6,9.6,30.3,57.7
58,Elijah Molden,48.3,33.2,43.3,58.7,45.2,75.0,88.0
59,Quandre Diggs,46.9,33.2,28.8,42.3,96.2,30.3,15.4
60,Anthony Johnson Jr.,46.8,33.2,69.7,86.5,13.0,30.3,1.0
61,Vonn Bell,46.4,33.2,38.5,68.8,51.9,30.3,51.4
62,DeAndre Houston-Carson,46.0,33.2,76.0,44.2,38.5,30.3,43.8
63,Chamarri Conner,45.8,33.2,56.7,63.9,23.1,85.6,17.3
64,Rodney Thomas II,45.6,33.2,53.8,37.5,72.1,30.3,3.4
65,Jalen Pitre,45.0,33.2,13.0,47.1,79.8,79.8,28.4
66,Taylor Rapp,44.7,33.2,60.6,65.4,17.3,30.3,99.0
67,Jimmie Ward,44.6,33.2,51.9,48.1,26.0,80.8,98.1
68,Jonathan Owens,44.1,75.0,13.0,9.6,65.4,70.2,40.4
69,Sam Franklin Jr.,43.7,33.2,78.8,71.6,4.8,30.3,0.0
70,Keanu Neal,43.7,33.2,59.6,73.1,18.3,30.3,25.0
71,Jevon Holland,42.9,33.2,41.3,25.5,47.1,99.0,86.5
72,K'Von Wallace,42.6,33.2,37.5,49.0,54.8,30.3,51.4
73,Jordan Howden,42.3,78.8,13.0,24.0,35.1,76.0,47.1
74,Micah Hyde,41.2,33.2,58.7,13.0,64.4,30.3,45.7
75,Kamren Curl,40.9,33.2,13.0,22.6,85.6,65.4,56.3
76,DeShon Elliott,40.8,33.2,31.7,22.6,74.5,30.3,76.9
77,Damontae Kazee,40.5,33.2,64.4,20.2,52.9,30.3,17.3
78,Marcus Epps,40.4,33.2,13.0,31.7,78.8,67.3,23.1
79,Malik Hooker,39.8,33.2,35.6,15.4,60.6,71.2,69.7
80,Tracy Walker III,39.7,81.7,13.0,8.7,31.7,77.9,64.4
81,Jalen Mills,38.2,33.2,13.0,71.6,21.2,86.5,30.8
82,Adrian Amos,38.0,33.2,13.0,83.2,16.3,30.3,95.7
83,Marcus Williams,37.0,33.2,39.4,27.4,50.0,30.3,41.3
84,Amani Hooker,36.7,33.2,34.6,14.4,61.5,30.3,71.6
85,DeMarcco Hellams,35.9,33.2,13.0,77.9,15.4,30.3,76.0
86,Darnell Savage,35.5,33.2,42.3,25.5,46.2,30.3,17.3
87,Sydney Brown,34.0,33.2,69.7,18.3,13.0,30.3,53.8
88,Dean Marlowe,33.5,92.3,13.0,6.3,8.7,30.3,64.4
89,Eddie Jackson,33.1,33.2,44.2,13.0,44.2,30.3,26.4
90,Jeremy Chinn,32.1,94.2,13.0,1.9,3.8,30.3,67.3
91,Rodney McLeod,32.1,33.2,13.0,81.7,2.9,30.3,19.7
92,Juan Thornhill,31.7,33.2,13.0,32.7,43.3,30.3,60.1
93,Bryan Cook,30.9,33.2,45.2,6.3,39.4,30.3,26.4
94,Percy Butler,29.7,33.2,13.0,3.8,56.7,73.1,10.6
95,Minkah Fitzpatrick,29.6,33.2,13.0,19.2,41.3,30.3,94.2
96,Russ Yeast,29.3,33.2,13.0,16.3,57.7,30.3,5.8
97,Budda Baker,27.5,33.2,13.0,2.9,49.0,30.3,88.0
98,Andre Chachere,25.3,33.2,13.0,28.8,22.1,30.3,32.2
99,Ryan Neal,24.7,33.2,13.0,0.0,40.4,30.3,79.8
100,Nick Scott,24.4,33.2,13.0,10.6,35.1,30.3,37.5
101,Darrick Forrest,23.7,33.2,13.0,36.5,10.6,30.3,9.1
102,Jamal Adams,21.5,33.2,13.0,11.5,26.9,30.3,1.9
103,Logan Ryan,20.8,33.2,13.0,7.7,1.9,96.2,22.1
104,Elijah Hicks,19.1,33.2,13.0,1.0,25.0,30.3,9.1
