Rank,Name,Analytical Score,Pass Snaps per Game,Sacks per Snap,Pass Rush Win Rate,Run Snaps per Game,Hurries per Snap,Forced Fumbles per Snap,Hits per Snap,Avg Depth of Tackle,Tackles per Snap,Pressures per Snap,Stop %
108,Casey Toohill,24,11,6.8,4.7,15.3,56.8,22.9,72,0.8,71.6,52.5,67.4
109,Oshane Ximines,24,20.3,29.7,8.5,35.2,2.5,63.6,61.9,6.4,16.1,7.6,16.5
110,Dominique Robinson,23.5,28,22.9,8.5,58.5,12.7,22.9,5.9,6.4,50.8,5.1,8.5
111,Chris Rumph II,20.4,6.8,30.9,17.4,4.2,35.6,22.9,80.5,0,0.8,48.3,0.8
112,Adetokunbo Ogundeji,19.8,14.4,16.1,0.8,75.8,1.7,22.9,3,19.1,30.5,1.7,35.2
113,Anfernee Jennings,19.1,5.9,9.3,4.7,20.3,23.7,22.9,24.6,33.5,81.4,15.3,67.4
114,Malik Reed,19,24.6,5.5,14.8,22.9,4.2,22.9,28,19.1,58.5,3.4,45.8
115,Alex Wright,18.4,39,1.3,1.7,47,11.9,22.9,3,5.1,31.4,2.5,7.6
116,Patrick Johnson,16,1.7,1.3,17.4,0.8,9.3,94.1,74.6,26.3,5.1,10.2,3.4
117,Terrell Lewis,15.2,22.9,7.6,3,23.7,0.8,22.9,9.3,82.6,2.5,0.8,5.9
118,Tomon Fox,14.1,2.5,11,8.5,12.7,21.2,22.9,3,8.9,59.3,6.8,52.1
